region_id,name,feature_type,latitude,longitude,inherited_tradition,inheritance_rationale
mars-tharsis,Tharsis Plateau,volcanic-highland,0,-110,latin_charge,"Volcanic uplifted plateau settled in waves — the Andean parallel. Latin American horizontal-tricolor-with-charge fits a continental highland federation founded by post-independence settlers."
mars-olympus,Olympus Mons,volcanic,18,-133,communist_red,"Largest volcano in the solar system — monumental scale and the iron-red of Mars itself align with the commemorative red-field tradition reserved for objects of state-veneration."
mars-hellas,Hellas Basin,impact-basin,-42,70,solid_emblem,"Deepest impact basin on Mars — a single bowl-shaped feature, naturally read as 'one field, one charge'. Inherits the Asian solid-emblem tradition (Japan, Bangladesh, Cambodia)."
mars-argyre,Argyre Basin,impact-basin,-50,-43,heraldic,"From the Greek for 'silver' — argent is the heraldic tincture for silver/white. The naming itself summons heraldic vocabulary, so the flag inherits the Old-European arms-on-field convention."
mars-marineris,Valles Marineris,canyon,-14,-59,heraldic,"4000 km canyon system — a ribbon of geography carrying a single named feature, natural fit for heraldic 'river-and-charge' conventions seen in old European riparian states."
mars-vastitas,Vastitas Borealis,polar-lowland,68,-30,nordic_cross,"North polar lowlands, formerly hypothesized to be a frozen ocean. Climate parallel to the Nordic states is direct: cold, marginal, sea-bordered. Inherits the Nordic cross."
mars-australe,Planum Australe,polar-cap,-83,160,nordic_cross,"South polar ice cap — the second polar settlement, carrying a Nordic cross variant in family resemblance to Vastitas Borealis (the Mars equivalent of the Sweden/Finland/Norway visual sibling-set)."
mars-arabia,Arabia Terra,highland,21,6,pan_arab,"The name is literal — Arabia Terra. Inheriting the pan-Arab tradition is irresistible and culturally legible to the new settlers naming their first regional government."
mars-sirenum,Terra Sirenum,southern-highland,-39,-150,pan_slavic,"Vast cratered southern highlands — broad continental tradition fits a Slavic-style horizontal tricolor: a flag of geography, not of state, suited to a sprawling agricultural-administrative region."
mars-cydonia,Cydonia,plain,40,-9,solid_emblem,"Famous for the 'Face on Mars' pareidolia — a single iconic central feature. Solid-emblem tradition (single field, single charge) commemorates the apocryphal face directly."
mars-elysium,Elysium Planitia,volcanic-plain,3,154,pan_african,"Eastern volcanic plain — warmer equatorial latitudes targeted for early agricultural terraforming. The Ethiopian/UNIA palette and tricolor form fit a region of continental-scale farming initiatives."
mars-amazonis,Amazonis Planitia,plain,25,-158,stars_stripes,"Vast smooth lowland plain in the northern hemisphere — a Mars analogue to the US Midwest. Inherits the stars-and-stripes form: federal stripes for the constituent agro-districts, canton for the central planning council."
mars-utopia,Utopia Planitia,plain,49,118,communist_red,"Tianwen-1 (China, 2021) and Viking 2 (US, 1976) landing site — by treaty, a commemorative red field marks the historic Chinese landing as one of the founding events of human Mars."
mars-acidalia,Acidalia Planitia,lowland,50,-30,horizontal_tricolor,"Northern dark plain visible from Earth telescopes since the 17th century — long-known and unremarkable in topography. The 'neutral' horizontal tricolor is the right default for an unromantic plain."
mars-chryse,Chryse Planitia,plain,28,-40,solid_emblem,"Viking 1 landing site (1976) — the first successful Mars landing. Inherits solid-emblem, with the central charge commemorating the lander itself: a sacred site of human spaceflight."
mars-eridania,Eridania,former-sea,-45,140,vertical_tricolor,"Site of an ancient Hesperian-era sea — a region whose identity is its lost water. The vertical tricolor, born of the French Revolution, marks Eridania as a proud post-terraforming republic restoring its sea."
mars-aeolis,Aeolis,equatorial-lowland,-5,140,star_crescent,"Includes Gale Crater (Curiosity rover, 2012) and the Mount Sharp / Aeolis Mons stratigraphic record — desert-like and read as a 'lunar/desert' analogue. Star-and-crescent fits the lunar/desert symbolic vocabulary."
mars-mangala,Mangala Valles,equatorial-drainage,-5,-150,pan_african,"Equatorial drainage system — warm, agricultural after terraforming. Pan-African inheritance shared with Elysium across the equatorial belt."
mars-noachis,Noachis Terra,ancient-highland,-45,15,heraldic,"The eponym for the Noachian era — Mars's oldest, most-cratered terrain. Inherits the heraldic tradition: oldest geology, oldest flag idiom."
mars-solis,Solis Planum,highland-plateau,-26,-90,latin_charge,"'Sun plateau' — the central charge of a Latin-style flag is often a sunburst (Argentina's Sol de Mayo, Uruguay, Philippines). Inheriting the Latin-charge tradition writes the Sun directly into the flag."
mars-margaritifer,Margaritifer Terra,terra,-5,-25,british_ensign,"From the Latin for 'pearl' — connotes maritime trade-route imagery. The British ensign tradition (settler-colonial maritime federation) fits a region settled in waves by an ocean-going power."
mars-phlegra,Phlegra Montes,mountain-belt,40,164,saltire,"Northern mountain belt — long, narrow, diagonal in the Mars projection. The diagonal saltire form (St Andrew's, Burundi, Jamaica) reads naturally for a diagonal mountain-state."
mars-thaumasia,Thaumasia Highlands,southern-highland,-30,-90,pan_slavic,"South of Tharsis — the second large continental highland after Terra Sirenum. Shares the broad Slavic horizontal tricolor inheritance: a sister-region to Sirenum across the southern hemisphere."
mars-tempe,Tempe Terra,northern-highland,40,-71,vertical_tricolor,"Northern highlands fronting Acidalia Planitia — settled by the same wave of post-revolutionary republicans as Eridania. Vertical tricolor marks them as siblings of the same political moment."
mars-sabaea,Terra Sabaea,equatorial-highland,2,21,star_crescent,"Named after the Sabaean kingdom of southern Arabia — direct cultural inheritance points to the star-and-crescent of the Islamic Ottoman tradition rather than pan-Arab (Sabaea is pre-Islamic Arabia, not Arab-revolutionary)."
